Non_Best_Answerer_Id	Best_Answerer_Id
139054	778669
778669	139054
575527	257182
257182	575527
1220864	1428241
1428241	1220864
1550807	670396
741747	670396
1550807	741747
670396	741747
1667136	1572595
1572595	1667136
949476	1550807
1550807	949476
1156334	1305850
1145578	1305850
1305850	1156334
1145578	1156334
1305850	1145578
1156334	1145578
949476	1144916
847135	1144916
1144916	949476
847135	949476
1144916	847135
949476	847135
1112154	128165
128165	1112154
454533	1014032
1014032	454533
1401094	1921385
1921385	1401094
260640	926594
3075664	926594
926594	260640
3075664	260640
926594	3075664
260640	3075664
965051	980799
2220391	980799
2281280	980799
980799	965051
2220391	965051
2281280	965051
980799	2220391
965051	2220391
2281280	2220391
265561	3519413
3519413	265561
1428241	3007335
1015959	3007335
3007335	1015959
1428241	1015959
519413	201078
561429	2801559
5002838	2801559
2116097	2801559
2801559	561429
5002838	561429
2116097	561429
2801559	5002838
561429	5002838
2116097	5002838
2801559	2116097
561429	2116097
5002838	2116097
794749	568162
1166642	568162
1242389	568162
568162	794749
1166642	794749
1242389	794749
568162	1166642
794749	1166642
1242389	1166642
568162	1242389
794749	1242389
1166642	1242389
2806996	5437591
5437591	2806996
5336818	1213296
1213296	5336818
462627	5659190
5728675	1447509
1079221	1447509
1447509	5728675
1079221	5728675
1447509	1079221
5728675	1079221
2813224	5752562
1053949	5752562
5752562	2813224
1053949	2813224
5752562	1053949
2813224	1053949
6315719	6028607
6028607	6315719
4934560	5493076
1563445	5493076
5493076	4934560
1563445	4934560
5493076	1563445
4934560	1563445
2610479	5384679
3164682	5384679
3299465	5384679
5384679	2610479
3164682	2610479
3299465	2610479
5384679	3164682
2610479	3164682
3299465	3164682
5384679	3299465
2610479	3299465
3164682	3299465
6683128	454780
454780	6683128
6741739	3713857
3713857	6741739
4915375	6680578
5437621	6680578
6680578	4915375
5437621	4915375
6680578	5437621
4915375	5437621
7108103	2720743
4885784	2720743
2720743	7108103
4885784	7108103
2720743	4885784
7108103	4885784
4423636	6583140
6583140	4423636
5641669	1123505
1123505	9642717
5641669	440646
2159528	5991278
5991278	2159528
